CBO before,CBO after,,WMC before,WMC after,,DIT before,DIT after,,NOC before,NOC after,,LCOM5 before,LCOM5 after,,CC before,CC after,,loc before,loc after,,LLOC before,LLOC after,,RFC before,RFC after,,CLOC before,CLOC after,,NOA before,NOA after,,NPM before,NPM after
0,1,,8,17,,0,1,,2,2,,2,1,,0,0,,14,4,,14,4,,4,6,,4,0,,0,1,,2,4
6,6,,79,4,,0,1,,2,0,,2,1,,1,0,,13,3,,9,3,,16,6,,0,7,,0,1,,2,5
3,21,,4,114,,2,3,,10,0,,0,4,,1,0,,13,3,,9,3,,6,79,,0,7,,2,3,,115,128
3,35,,4,163,,2,3,,10,0,,0,3,,1,0,,13,3,,9,3,,6,101,,0,7,,2,3,,115,121
3,21,,4,234,,2,3,,10,0,,0,3,,1,0,,13,3,,9,3,,6,84,,0,7,,2,3,,115,119
3,49,,4,347,,2,3,,10,0,,0,4,,1,0,,13,4,,9,4,,6,154,,0,0,,2,3,,115,124
3,36,,4,214,,2,3,,10,0,,0,3,,1,0,,13,4,,9,4,,6,101,,0,0,,2,3,,115,121
3,43,,4,236,,2,3,,10,0,,0,3,,1,0,,13,4,,9,4,,6,133,,0,0,,2,3,,115,124
3,46,,4,260,,2,3,,10,0,,0,5,,1,0,,13,4,,9,4,,6,114,,0,0,,2,3,,115,121
3,28,,4,109,,2,3,,10,0,,0,3,,1,0,,13,7,,9,6,,6,99,,0,0,,2,3,,115,118
3,21,,4,114,,2,3,,10,0,,0,4,,1,0,,13,7,,9,6,,6,79,,0,0,,2,3,,115,128
3,35,,4,163,,2,3,,10,0,,0,3,,1,0,,13,7,,9,6,,6,101,,0,0,,2,3,,115,121
3,21,,4,234,,2,3,,10,0,,0,3,,1,0,,13,7,,9,6,,6,84,,0,0,,2,3,,115,119
3,49,,4,347,,2,3,,10,0,,0,4,,1,0,,13,3,,9,3,,6,154,,0,7,,2,3,,115,124
3,36,,4,214,,2,3,,10,0,,0,3,,1,0,,13,3,,9,3,,6,101,,0,7,,2,3,,115,121
3,43,,4,236,,2,3,,10,0,,0,3,,1,0,,13,3,,9,3,,6,133,,0,7,,2,3,,115,124
3,46,,4,260,,2,3,,10,0,,0,5,,1,0,,13,3,,9,3,,6,114,,0,7,,2,3,,115,121
3,28,,4,109,,2,3,,10,0,,0,3,,1,0,,13,4,,9,4,,6,99,,0,0,,2,3,,115,118
3,21,,4,114,,2,3,,10,0,,0,4,,1,0,,13,4,,9,4,,6,79,,0,0,,2,3,,115,128
3,35,,4,163,,2,3,,10,0,,0,3,,1,0,,13,4,,9,4,,6,101,,0,0,,2,3,,115,121
3,21,,4,234,,2,3,,10,0,,0,3,,1,0,,13,4,,9,4,,6,84,,0,0,,2,3,,115,119
3,49,,4,347,,2,3,,10,0,,0,4,,1,0,,13,7,,9,6,,6,154,,0,0,,2,3,,115,124
3,36,,4,214,,2,3,,10,0,,0,3,,1,0,,13,7,,9,6,,6,101,,0,0,,2,3,,115,121
3,43,,4,236,,2,3,,10,0,,0,3,,1,0,,13,7,,9,6,,6,133,,0,0,,2,3,,115,124
3,46,,4,260,,2,3,,10,0,,0,5,,1,0,,13,7,,9,6,,6,114,,0,0,,2,3,,115,121
3,28,,4,109,,2,3,,10,0,,0,3,,1,0,,10,3,,8,3,,6,99,,0,7,,2,3,,115,118
3,21,,4,114,,2,3,,10,0,,0,4,,1,0,,10,3,,8,3,,6,79,,0,7,,2,3,,115,128
3,35,,4,163,,2,3,,10,0,,0,3,,1,0,,10,3,,8,3,,6,101,,0,7,,2,3,,115,121
3,21,,4,234,,2,3,,10,0,,0,3,,1,0,,10,3,,8,3,,6,84,,0,7,,2,3,,115,119
3,49,,4,347,,2,3,,10,0,,0,4,,1,0,,10,4,,8,4,,6,154,,0,0,,2,3,,115,124
3,36,,4,214,,2,3,,10,0,,0,3,,1,0,,10,4,,8,4,,6,101,,0,0,,2,3,,115,121
3,43,,4,236,,2,3,,10,0,,0,3,,1,0,,10,4,,8,4,,6,133,,0,0,,2,3,,115,124
3,46,,4,260,,2,3,,10,0,,0,5,,1,0,,10,4,,8,4,,6,114,,0,0,,2,3,,115,121
3,28,,4,109,,2,3,,10,0,,0,3,,1,0,,10,7,,8,6,,6,99,,0,0,,2,3,,115,118
3,21,,4,114,,2,3,,10,0,,0,4,,1,0,,10,7,,8,6,,6,79,,0,0,,2,3,,115,128
3,35,,4,163,,2,3,,10,0,,0,3,,1,0,,10,7,,8,6,,6,101,,0,0,,2,3,,115,121
3,21,,4,234,,2,3,,10,0,,0,3,,1,0,,10,7,,8,6,,6,84,,0,0,,2,3,,115,119
3,49,,4,347,,2,3,,10,0,,0,4,,1,0,,10,3,,8,3,,6,154,,0,7,,2,3,,115,124
3,36,,4,214,,2,3,,10,0,,0,3,,1,0,,10,3,,8,3,,6,101,,0,7,,2,3,,115,121
3,43,,4,236,,2,3,,10,0,,0,3,,1,0,,10,3,,8,3,,6,133,,0,7,,2,3,,115,124
3,46,,4,260,,2,3,,10,0,,0,5,,1,0,,10,3,,8,3,,6,114,,0,7,,2,3,,115,121
3,28,,4,109,,2,3,,10,0,,0,3,,1,0,,10,4,,8,4,,6,99,,0,0,,2,3,,115,118
3,21,,4,114,,2,3,,10,0,,0,4,,1,0,,10,4,,8,4,,6,79,,0,0,,2,3,,115,128
3,35,,4,163,,2,3,,10,0,,0,3,,1,0,,10,4,,8,4,,6,101,,0,0,,2,3,,115,121
3,21,,4,234,,2,3,,10,0,,0,3,,1,0,,10,4,,8,4,,6,84,,0,0,,2,3,,115,119
3,49,,4,347,,2,3,,10,0,,0,4,,1,0,,10,7,,8,6,,6,154,,0,0,,2,3,,115,124
3,36,,4,214,,2,3,,10,0,,0,3,,1,0,,10,7,,8,6,,6,101,,0,0,,2,3,,115,121
3,43,,4,236,,2,3,,10,0,,0,3,,1,0,,10,7,,8,6,,6,133,,0,0,,2,3,,115,124
3,46,,4,260,,2,3,,10,0,,0,5,,1,0,,10,7,,8,6,,6,114,,0,0,,2,3,,115,121
3,28,,4,109,,2,3,,10,0,,0,3,,1,0,,13,3,,9,3,,6,99,,0,7,,2,3,,115,118
3,21,,4,114,,2,3,,10,0,,0,4,,1,0,,13,3,,9,3,,6,79,,0,7,,2,3,,115,128
3,35,,4,163,,2,3,,10,0,,0,3,,1,0,,13,3,,9,3,,6,101,,0,7,,2,3,,115,121
3,21,,4,234,,2,3,,10,0,,0,3,,1,0,,13,3,,9,3,,6,84,,0,7,,2,3,,115,119
3,49,,4,347,,2,3,,10,0,,0,4,,1,0,,13,4,,9,4,,6,154,,0,0,,2,3,,115,124
3,36,,4,214,,2,3,,10,0,,0,3,,1,0,,13,4,,9,4,,6,101,,0,0,,2,3,,115,121
3,43,,4,236,,2,3,,10,0,,0,3,,1,0,,13,4,,9,4,,6,133,,0,0,,2,3,,115,124
3,46,,4,260,,2,3,,10,0,,0,5,,1,0,,13,4,,9,4,,6,114,,0,0,,2,3,,115,121
3,28,,4,109,,2,3,,10,0,,0,3,,1,0,,13,7,,9,6,,6,99,,0,0,,2,3,,115,118
3,21,,4,114,,2,3,,10,0,,0,4,,1,0,,13,7,,9,6,,6,79,,0,0,,2,3,,115,128
